author,score
"Tolstoy, Leo, graf, 1828-1910; Wright, C. T. Hagberg (Charles Theodore Hagberg), 1862-1940 [Editor]",1.5750646591186523
"Trollope, Anthony, 1815-1882",-2.360028266906738
"Turgenev, Ivan Sergeevich, 1818-1883; Townsend, R. S. [Translator]",3.8935940704003578
"Twain, Mark, 1835-1910",3.010877503289117
"Twain, Mark, 1835-1910; Paine, Albert Bigelow, 1861-1937 [Compiler]",3.096169869105021
"Van Dyke, Henry, 1852-1933",1.8957405419185245
"Verne, Jules, 1828-1905",1.314081349092371
"Von Arnim, Elizabeth, 1866-1941",2.912545322032457
"Voynich, E. L. (Ethel Lillian), 1864-1960",3.6660455100390377
"Wallace, Edgar, 1875-1932",3.697714321074947
"Warner, Charles Dudley, 1829-1900",3.0487770250108506
"Waterlow, Sydney, 1878-1944",2.5553429676936217
"Wells, H. G. (Herbert George), 1866-1946",1.8511691196784146
"Wharton, Edith, 1862-1937",2.3466658678399512
"White, Stewart Edward, 1873-1946",3.3681833744049072
"Wiggin, Kate Douglas Smith, 1856-1923",1.6605966124423714
"Wister, Owen, 1860-1938",4.074608226201525
"Wolf, Emma, 1865-1932",1.1761518597602845
"Wollstonecraft, Mary, 1759-1797",3.89692177091326
"Wood, Henry, Mrs., 1814-1887",3.19539166872318
"Xenophon, 431 BCE-350? BCE; Dakyns, Henry Graham, 1838-1911 [Translator]",-1.8450321974577728
"Yeats, W. B. (William Butler), 1865-1939",2.9798372904459636
"Yonge, Charlotte M. (Charlotte Mary), 1823-1901",2.719420170063299
